,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,marketState,currency,regularMarketChangePercent,regularMarketPrice,gmtOffSetMilliseconds,esgPopulated,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketTime,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,market,price,ipoExpectedDate,trailingPE,displayName,prevName,nameChangeDate,newListingDate,underlyingSymbol,openInterest
ABCM,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-0.41407502,14.43,-18000000,False,,,0.0,0.0,0.08,,,,229272000.0,3.183,15.608,-1.1779995,-0.07547408,15.1495,-0.7194996,-0.04749329,3308395008.0,,4.533459,15,0,2.4 - Buy,False,False,1603373400000.0,2,0.0,1676667614.0,14.43,0.0,-0.059999466,1676667605,14.61,14.26 - 14.61,14.26,527992,14.49,10.44,15.58,9,8.0,NasdaqGS,GBP,14.48,732332,469580,1.8900003,0.15071774,12.54 - 19.39,-4.959999,-0.25580192,12.54,19.39,,,NMS,Abcam plc,Abcam plc,finmb_9560513,America/New_York,EST,us_market,14.43,2020-10-22,180.37502,Abcam,,,,,
ABEO,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,1.7094103,2.38,-18000000,False,1680089400.0,1680521400.0,0.0,0.0,38.68,-1.92,-1.27,-1.8740158,17175800.0,2.009,2.7104,-0.3304,-0.12190082,3.7719,-1.3918998,-0.36901823,40878404.0,-1.2395834,1.184669,15,0,2.0 - Buy,False,False,338218200000.0,4,3.781509,1676677897.0,2.47,0.089999914,0.0400002,1676667604,2.44,2.32 - 2.44,2.32,124478,2.34,2.32,2.39,8,14.0,NasdaqCM,USD,2.32,244118,132920,0.06000018,0.025862148,2.32 - 9.25,-6.87,-0.74270266,2.32,9.25,,1668429900.0,NCM,Abeona Therapeutics Inc.,Abeona Therapeutics Inc.,finmb_360935,America/New_York,EST,us_market,2.38,,0.061530508,Abeona Therapeutics,,,,,
ABGI,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,0.09842745,10.17,-18000000,False,,,0.0,0.0,0.01,,,,15566300.0,-0.27,10.1115,0.05850029,0.0057855207,9.93452,0.23548031,0.02370324,196612544.0,,-37.666664,15,0,,False,False,1613572200000.0,2,,,,,0.010000229,1676661131,10.17,10.16 - 10.17,10.16,50093,10.16,10.16,16.25,11,12.0,NasdaqCM,USD,10.16,51434,35620,0.46000004,0.047373846,9.71 - 10.42,-0.25,-0.023992322,9.71,10.42,,,NCM,ABG Acquisition Corp. I,ABG Acquisition Corp. I,finmb_702953482,America/New_York,EST,us_market,10.17,2021-02-17,1017.0,,,,,,
ABIO,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,0.23640075,2.12,-18000000,False,1678738500.0,1679084100.0,0.0,0.0,-1.283,-8.8,,,14410100.0,2.965,2.2854,-0.16540003,-0.07237247,2.27045,-0.15045023,-0.066264495,30549410.0,-0.24090907,0.71500844,15,0,,False,False,871047000000.0,4,0.0,1676667620.0,2.11,0.0,0.004999876,1676667136,2.15,2.09 - 2.15,2.09,14673,2.115,2.1,2.14,31,8.0,NasdaqCM,USD,2.11,39078,22490,0.3599999,0.2045454,1.76 - 2.7,-0.58000016,-0.21481487,1.76,2.7,1554336000.0,1666988100.0,NCM,"ARCA biopharma, Inc.","ARCA biopharma, Inc.",finmb_26198824,America/New_York,EST,us_market,2.12,,,ARCA biopharma,,,,,
ABNB,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,-5.608946,131.6,-18000000,False,1682971200.0,1683316800.0,0.0,0.0,3.16,3.94,3.22,40.869568,398247008.0,8.77,101.3936,30.206406,0.29791236,107.58555,24.014458,0.22321267,83326099456.0,33.401016,15.005701,15,0,2.6 - Hold,False,False,1607610600000.0,2,0.45592007,1676681995.0,132.2,0.59999084,-7.819992,1676667605,138.4,130.77 - 138.4,130.77,11386744,139.42,131.8,132.0,8,9.0,NasdaqGS,USD,137.435,6315575,10934860,49.690002,0.6066414,81.91 - 179.09,-47.48999,-0.26517388,81.91,179.09,,1676410200.0,NMS,"Airbnb, Inc.","Airbnb, Inc.",finmb_115705393,America/New_York,EST,us_market,131.6,2020-12-10,41.64557,Airbnb,,,,,
ABOS,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,0.0,5.51,-18000000,False,1660595400.0,1660595400.0,0.0,0.0,1.22,-1.23,-0.98,-5.622449,40925300.0,4.855,5.6592,-0.14919996,-0.026364142,5.62795,-0.11794996,-0.02095789,225498416.0,-4.479675,1.1349125,15,0,1.5 - Strong Buy,False,False,1625146200000.0,2,1.63339,1676678061.0,5.6,0.0899997,0.0,1676667604,5.9693,5.46 - 5.9693,5.46,33066,5.51,5.1,6.14,8,14.0,NasdaqGS,USD,5.52,92978,80000,2.4900002,0.8245034,3.02 - 10.97,-5.46,-0.49772105,3.02,10.97,,1660595400.0,NMS,"Acumen Pharmaceuticals, Inc.","Acumen Pharmaceuticals, Inc.",finmb_8539521,America/New_York,EST,us_market,5.51,2021-07-01,4.5163937,Acumen Pharmaceuticals,,,,,
ABSI,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,2.6923144,2.67,-18000000,False,,,0.0,0.0,-1.776,-1.06,-1.17,-2.2820513,92394896.0,3.154,2.7135,-0.043499947,-0.016030937,3.247575,-0.57757497,-0.17784807,246694384.0,-2.5188682,0.8465441,15,0,2.7 - Hold,False,False,1626960600000.0,4,8.988764,1676676996.0,2.91,0.24000001,0.07000017,1676667604,2.72,2.52 - 2.72,2.52,368459,2.6,2.5,2.68,8,8.0,NasdaqGS,USD,2.6,473367,576420,0.73,0.37628865,1.94 - 9.68,-7.01,-0.72417355,1.94,9.68,,,NMS,Absci Corporation,Absci Corporation,finmb_266013918,America/New_York,EST,us_market,2.67,2021-07-22,,Absci,"Absci, CORP",2023-02-17,,,
ABST,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-1.5991532,9.23,-18000000,False,1683543540.0,1683892800.0,0.24,0.025586354,-0.455,0.38,0.04,230.75,52677200.0,-0.166,10.7864,-1.5564003,-0.14429285,10.10875,-0.8787508,-0.086929716,486842784.0,24.289473,-55.60241,15,0,2.0 - Buy,False,False,1234535400000.0,2,1.84182,1676678981.0,9.4,0.17,-0.15000057,1676667604,9.3,9.15 - 9.3,9.15,111495,9.38,9.06,9.4,10,8.0,NasdaqGS,USD,9.26,78552,111290,2.4399996,0.35935193,6.79 - 12.59,-3.3600006,-0.26687852,6.79,12.59,1677110400.0,1676412000.0,NMS,Absolute Software Corporation,Absolute Software Corporation,finmb_6850153,America/New_York,EST,us_market,9.23,,,Absolute Software,,,,,
ABUS,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,3.396223,2.74,-18000000,False,1677760200.0,1677760200.0,0.0,0.0,-0.705,-0.57,-0.45,-6.088889,157500000.0,0.953,2.6644,0.07559991,0.028374083,2.45705,0.28294992,0.11515839,431550016.0,-4.807018,2.8751311,15,0,2.0 - Buy,False,False,1185456600000.0,4,-0.7299263,1676673026.0,2.72,-0.01999998,0.089999914,1676667605,2.75,2.635 - 2.75,2.635,2001617,2.65,2.71,2.78,29,40.0,NasdaqGS,USD,2.66,880498,761220,0.89,0.48108107,1.85 - 3.64,-0.9000001,-0.24725276,1.85,3.64,,1677760200.0,NMS,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation,finmb_34160168,America/New_York,EST,us_market,2.74,,,Arbutus Biopharma,,,,,
ABVC,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,0.0,0.725,-18000000,False,1680120000.0,1680552000.0,0.0,0.0,-0.671,-0.28,-0.52,-1.3942308,32632300.0,0.183,0.74304,-0.018040001,-0.02427864,0.976695,-0.25169498,-0.25770068,23658418.0,-2.5892859,3.9617488,15,0,3.0 - Hold,False,False,1100097000000.0,4,2.06896,1676677362.0,0.74,0.015,0.0,1676666391,0.73,0.7001 - 0.73,0.7001,43722,0.725,0.7099,0.7627,22,9.0,NasdaqCM,USD,0.72,822622,60820,0.22500002,0.45000005,0.5 - 3.13,-2.4050002,-0.7683706,0.5,3.13,1557273600.0,1668468035.0,NCM,"ABVC Biopharma, Inc.","ABVC BioPharma, Inc.",finmb_325748154,America/New_York,EST,us_market,0.725,2021-08-03,,ABVC BioPharma,American BriVision (Holding) Corporation,2023-02-17,,,
